  ----------------------------- 
           R A N B O X   2 2    
  ----------------------------- 


  Parameters: 
  ----------------------------- 

  Dataset       = HEPMASS data
  Nsignal      = 200
  Nbackground  = 9800
  NAD          = 27
  PCA          = 0
  Nvar         = 8
  Algorithm    = 5
  Speedup      = 1
  useSB        = 1
  useZPL       = 0
  RegFactor    = 1
  Root file    = OUTPUT/RB22_HEPMASS_392_Ntr1000_NS200_NB9800_A5_SP1_R2_SB.root
  maxBoxVolume = 0.5
  maxGDLoops   = 100
  Nremoved     = 0
  id           = 392



Cycle n: 0

  Trial 0: Z = 113.614; Nin, Nexp = 399, 36 - Ns_in = 83; SFR = 16.6; vars= 2 9 23 4 7 26 21 1  - SB gain = 0.41604


  Best Z after 0 loops = 113.6 Nin = 399 Nexp = 36 Initial Dens. = 6.41
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
  Z=92.46  Nin=399  Nex=0  Ns=83  V=0.0006  SF=16.6  SBg= 0.41604  Vars=  2 9 23 4 7 26 21 1
