  ----------------------------- 
           R A N B O X   2 2    
  ----------------------------- 


  Parameters: 
  ----------------------------- 

  Dataset       = HEPMASS data
  Nsignal      = 200
  Nbackground  = 9800
  NAD          = 27
  PCA          = 0
  Nvar         = 8
  Algorithm    = 5
  Speedup      = 1
  useSB        = 1
  useZPL       = 0
  RegFactor    = 1
  Root file    = OUTPUT/RB22_HEPMASS_57_Ntr1000_NS200_NB9800_A5_SP1_R2_SB.root
  maxBoxVolume = 0.5
  maxGDLoops   = 100
  Nremoved     = 0
  id           = 57



Cycle n: 0

  Trial 0: Z = 113.329; Nin, Nexp = 398, 36 - Ns_in = 135; SFR = 27; vars= 14 9 15 0 1 23 18 4  - SB gain = 0.678392


  Best Z after 0 loops = 113.3 Nin = 398 Nexp = 36 Initial Dens. = 6.4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
  Z=92.23  Nin=398  Nex=0  Ns=135  V=0.0006  SF=27  SBg= 0.678392  Vars=  14 9 15 0 1 23 18 4
